metric,n_tests,best_p,best_q,median_abs_d,max_abs_d,median_abs_g,max_abs_g,max_abs_rank_biserial,median_auc,best_rank_score
Neural_Shock_Dist_Background,2,0.24359400521578062,0.7759526161243904,0.2744921544410079,0.3030649335176516,0.2701807593450758,0.2983047513158037,0.06818181818181812,0.5251623376623377,1.6323529411764706
Neural_Safety_Trajectory_Slope,6,0.4330440703736619,0.618020734749746,0.13985422525818028,0.22233842467085996,0.13767379172185498,0.21884619810534908,0.19155844155844148,0.5605590062111802,1.6266968325791855
Neural_ShockEvidence_SHOCK,2,0.2448302978844421,0.7759526161243904,0.2746699823111054,0.3020238707622301,0.270355794107266,0.2972800403314097,0.06818181818181812,0.5251623376623377,1.6187782805429864
Neural_ResidualizedShockAxis_Discrimination_LatePhase,2,0.4010979320153746,0.8842089629220995,0.17267116451121273,0.24174498683814263,0.169959051979623,0.23794794516005663,0.13636363636363635,0.5381493506493507,1.57579185520362
Neural_ResidualizedShockAxis_Discrimination_EarlyLate_Change,2,0.4595524875986413,0.8842089629220995,0.18481303546343147,0.21048022748169043,0.18191021291688547,0.20717425532229217,0.1785714285714286,0.5827922077922079,1.5735294117647058
Neural_ShockEvidence_CSR,2,0.27162252628583106,0.788967223554704,0.2441976710258292,0.28624974719360546,0.2403621055123345,0.28175367786595723,0.06818181818181812,0.5275974025974026,1.56447963800905
Neural_Shock_Anchor_ThreatMinusBackground_Proximity,2,0.272833197151728,0.788967223554704,0.23934194647490387,0.28640617059753315,0.23558264888629282,0.2819076443577813,0.06818181818181812,0.5275974025974026,1.5599547511312217
Neural_CV_Dist_Threat_Safety,6,0.32635616201224893,0.6639018784125585,0.14683598455400468,0.28192858395862974,0.14455172443453937,0.27750038630482926,0.12111801242236009,0.523538961038961,1.5463800904977374
Neural_ShockEvidence_DiscriminationAUC,2,0.3791949630835255,0.788967223554704,0.2640050345484265,0.2716776051347309,0.2598583586131109,0.2674104176195257,0.12012987012987009,0.547077922077922,1.5361990950226245
Neural_ResidualizedShockAxis_Discrimination_Volatility,2,0.5343640337323095,0.8923326565603642,0.15038141634329596,0.17201931535541667,0.1480194045682704,0.1693174412922426,0.18506493506493493,0.5527597402597402,1.4490950226244346
Neural_CV_Dist_Threat_Background,6,0.39855045313588133,0.5765215951004674,0.1484415389909843,0.24352791477150346,0.14613487519958543,0.2397813314673265,0.10869565217391308,0.5315499717673631,1.4411764705882353
Neural_Dist_Threat_Safety,6,0.37871819284326624,0.8432227615253232,0.06276528009304165,0.24683199142763235,0.06178385814178644,0.2429550491538999,0.08116883116883122,0.5260446075663466,1.4174208144796379
Neural_ShockEvidence_CSS,2,0.38667844993095346,0.788967223554704,0.2109325109477324,0.23040436713319826,0.20761943485954815,0.22678545037194384,0.07467532467532467,0.5202922077922079,1.3631221719457014
Neural_ShockEvidence_CSS_Slope,2,0.46558297577011487,0.8842089629220995,0.1950158737470477,0.22797222941216727,0.19195279719604696,0.22439151376695,0.11038961038961026,0.5275974025974026,1.3608597285067874
Neural_ShockEvidence_CSR_AUC,2,0.41748678414261187,0.8099243612366671,0.1720393097073292,0.22219836834550455,0.16933712159674288,0.2187083416175647,0.09415584415584433,0.5275974025974026,1.3574660633484164
Neural_Shock_Anchor_SafetyMinusBackground_Proximity,2,0.39315154405230357,0.788967223554704,0.20543601269480347,0.2285691995276959,0.20220926903991127,0.22497910738851742,0.07467532467532467,0.5202922077922079,1.3427601809954752
Neural_Shock_Anchor_SafetySpecificity,2,0.39315154405230357,0.788967223554704,0.20543601269480347,0.2285691995276959,0.20220926903991127,0.22497910738851742,0.07467532467532467,0.5202922077922079,1.3427601809954752
Neural_ShockEvidence_Discrimination_Slope,2,0.7631037435000382,0.9299378231708263,0.07185755505607341,0.09370380914370731,0.07072890235885759,0.0922320215655339,0.2954545454545454,0.609577922077922,1.3099547511312217
Neural_ShockEvidence_CSR_EarlyLate_Change,2,0.6199853720292463,0.8975907624901028,0.09385381315075847,0.14236030821210932,0.09237966948870467,0.14012428242867306,0.17532467532467533,0.560064935064935,1.2963800904977376
Neural_ResidualizedShockAxis_Discrimination_Slope,2,0.5617258004380064,0.8923326565603642,0.12420778015213599,0.16372111509038442,0.1222568726104794,0.16114957925126844,0.13961038961038952,0.5673701298701299,1.257918552036199
