AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CSS - CS-,HC vs 0,HC,11,0.015158545912671979,0.014278462366700582,1.0616371373449762,0.15668340462372332,0.32009564073457164
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CSS - CS-,SAD vs 0,SAD,11,-0.0466777499945654,0.02293320009286962,-2.035378830932471,0.9654100695307158,-0.613689808039566
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.06183629590723738,,-2.288967920488671,0.03536673022228019,-0.9760192007263933
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CSR - CS-,HC vs 0,HC,11,0.01006318923631248,0.0134533499194034,0.7480062063797669,0.23584060580605987,0.22553235703807567
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CSR - CS-,SAD vs 0,SAD,11,-0.03615139621274354,0.013049009532570403,-2.7704322019621066,0.9901136851345177,-0.8353167382751291
Late-phase sensitivity CS+ learners,Extinction: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,-0.04621458544905602,,-2.465806427207394,0.02284717789954995,-1.0514233933497694
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CS+ - CS-,HC vs 0,HC,11,0.01474657428279544,0.013180756384545052,1.1187957543989182,0.144690791551777,0.33732961221671126
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,11,-0.03432186670365844,0.01601854583264128,-2.1426331117847255,0.9711110487291547,-0.6460281904710504
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.049068440986453875,,-2.365393455884877,0.028630718460280244,-1.0086071585150576
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CSS - CS-,HC vs 0,HC,11,0.006210627694111135,0.0147402357238728,0.42133842432740787,0.3412105299590573,0.12703831484123307
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CSS - CS-,SAD vs 0,SAD,11,-0.030958884491466162,0.017216331565460735,-1.798227710343104,0.9488263767646239,-0.5421860548025424
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.0371695121855773,,-1.6399928742908871,0.1170097209134968,-0.6992953112338273
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CSR - CS-,HC vs 0,HC,11,0.02328252087147976,0.022483042091401065,1.0355591906481583,0.16240037841084665,0.3122328439621868
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CSR - CS-,SAD vs 0,SAD,11,-0.0376848489158507,0.01794988262952006,-2.0994482077489947,0.968932578304119,-0.6330074519897754
Late-phase sensitivity CS+ learners,Extinction: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,-0.06096736978733046,,-2.1191651059055245,0.04742740647575509,-0.9036150373097418
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CS+ - CS-,HC vs 0,HC,11,0.010475160866188991,0.018660247537405094,0.5613623744910767,0.29345469173358135,0.16925712432817064
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,11,-0.04850727950365052,0.03563906391584867,-1.3610705269416281,0.8983138408033337,-0.4103782046433356
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.05898244036983951,,-1.466178402443493,0.1631146772591247,-0.6251805714121544
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CSS - CS-,HC vs 0,HC,11,0.0241064641312328,0.0249691225181274,0.9654509930708091,0.17854308913731054,0.29109442704471683
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CSS - CS-,SAD vs 0,SAD,11,-0.06239661549766464,0.04344499793419803,-1.4362209337003724,0.9092620584828152,-0.4330369048307304
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.08650307962889744,,-1.7262937784473038,0.10360131263801439,-0.7360941404103973
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CSR - CS-,HC vs 0,HC,11,-0.003156142398854818,0.019175310477132716,-0.16459407020390293,0.5637285116519173,-0.049626979416705595
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CSR - CS-,SAD vs 0,SAD,11,-0.03461794350963638,0.028817434658421938,-1.201284705594682,0.8713401963329742,-0.3622009668045555
Late-phase sensitivity CS+ learners,Extinction: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,-0.03146180111078156,,-0.9089297704564082,0.3758027568136564,-0.3875689563564935
