AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Simple CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,19,0.0003190505091483045,0.013961590221508297,0.022852017863752835,0.49100987051304057,0.005242612448636043
Simple CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,39,-0.01429301147613627,,-0.6776576730940054,0.5022437705811285,-0.21624641849750267
Simple CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,HC vs 0,HC,20,0.013887875314471238,0.013127675433384792,1.0579081867878293,0.15168137434118104,0.23655546196111313
Simple CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,SAD vs 0,SAD,19,-0.008686166775434675,0.01634825524676287,-0.531320721650381,0.6991538393990515,-0.12189333327805861
Simple CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,39,-0.02257404208990591,,-1.0766631288359885,0.2890097208137872,-0.34666438280929107
Simple CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,HC vs 0,HC,20,0.015336248656097912,0.022321568805484308,0.6870596233509298,0.25017303798339285,0.15363120224080806
Simple CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,SAD vs 0,SAD,19,0.009324267793731295,0.018384528388071798,0.5071801460939863,0.3090928478639806,0.1163551054207306
Simple CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,39,-0.0060119808623666175,,-0.20789845370424806,0.8364791936315713,-0.06622458172820951
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,HC vs 0,HC,14,0.009947186397597937,0.014324268803252872,0.6944289118156628,0.24981811435990048,0.18559393339174746
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,SAD vs 0,SAD,16,0.02124264254158291,0.014296331983217322,1.4858806137490348,0.07901215874847718,0.3714701534372587
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,30,0.011295456143984972,,0.5581357212305974,0.5812114680568254,0.20334611438877412
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CSS - CS-,HC vs 0,HC,14,0.010886558726718676,0.012225352315167944,0.8904903880121121,0.1946928411491538,0.23799356701119376
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CSS - CS-,SAD vs 0,SAD,16,0.00829270387549554,0.015047893302941253,0.5510873654237468,0.29484435204651327,0.1377718413559367
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,30,-0.0025938548512231367,,-0.1337859388025216,0.8945458373535711,-0.04806409701319361
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CSR - CS-,HC vs 0,HC,14,0.009007814068477211,0.01961314418177408,0.4592743511694525,0.3268112899872585,0.12274623347207077
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CSR - CS-,SAD vs 0,SAD,16,0.03419258120767027,0.01787697395288702,1.9126604590788914,0.037539729870462286,0.47816511476972284
Habituation-adjusted CS+ learners,Reinstatement: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,30,0.025184767139193057,,0.9490103048529117,0.3509522016299481,0.3479242556786925
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,HC vs 0,HC,14,0.025403674839889374,0.022112759266529457,1.1488242843732825,0.13566384778348864,0.3070362049807557
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,16,0.04552221621914421,0.025273466444251786,1.8011860905411259,0.045903802355730286,0.45029652263528147
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,30,0.020118541379254833,,0.5990946208481203,0.5539447130343206,0.21627445179265412
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,HC vs 0,HC,14,0.0251480774744438,0.024175463450110915,1.0402314531152628,0.1585966034165824,0.278013550035951
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,SAD vs 0,SAD,16,0.034780466414741563,0.030655555970699827,1.1345566998681829,0.13718358345224704,0.2836391749670457
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,30,0.009632388940297762,,0.24672362177661877,0.8069691308838804,0.08847091173435684
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,HC vs 0,HC,14,0.025659272205334926,0.02437361853803237,1.052747755336223,0.15581586103079967,0.28135867251167607
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,SAD vs 0,SAD,16,0.05626396602354687,0.023957775543652755,2.34846369275937,0.016488252896658336,0.5871159231898425
Habituation-adjusted CS+ learners,Reinstatement: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,30,0.030604693818211945,,0.8954836073308637,0.378222493409731,0.3265950278077225
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,HC vs 0,HC,14,-0.005509302044693483,0.018811568762243325,-0.2928677620843189,0.6128771650510356,-0.0782722018107675
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,16,-0.0030369311359783914,0.015504400526198994,-0.1958754310330575,0.576331746120428,-0.04896885775826437
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,30,0.0024723709087150917,,0.10142028048667731,0.9199893938798882,0.037440215211725345
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,HC vs 0,HC,14,-0.003374960021006449,0.01610987707139876,-0.20949632365589577,0.5813459412071158,-0.055990247636361914
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,SAD vs 0,SAD,16,-0.01819505866375046,0.0177102174404437,-1.0273763563286107,0.8397367918720089,-0.25684408908215267
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,30,-0.014820098642744011,,-0.6190213136965451,0.5409091419165222,-0.22404917986291895
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,HC vs 0,HC,14,-0.007643644068380507,0.024647607748734326,-0.3101170769310467,0.619306271648707,-0.0828822751188424
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,SAD vs 0,SAD,16,0.012121196391793687,0.019969990203213044,0.6069705727669042,0.27647387847370786,0.15174264319172606
Habituation-adjusted CS+ learners,Reinstatement: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,30,0.019764840460174193,,0.6230580066647906,0.5386799140854015,0.23027453915186682
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,HC vs 0,HC,11,0.016940981543619057,0.016002523087991247,1.0586444056645077,0.15733162821578622,0.3191932981816332
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,SAD vs 0,SAD,11,0.016063445863191538,0.009460982733388537,1.6978622956896854,0.060190878633264555,0.5119247436812856
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.0008775356804275186,,-0.04720452261386763,0.9629262202849829,-0.02012807607300238
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CSS - CS-,HC vs 0,HC,11,0.01981224804255375,0.017590930488056947,1.1262762965270612,0.14317540132905576,0.33958508053193825
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CSS - CS-,SAD vs 0,SAD,11,0.011950962135275306,0.009662112337225982,1.236889172694763,0.12219395367441978,0.37293611755287565
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.007861285907278444,,-0.3916970879898371,0.7006042886162375,-0.16702019950767968
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CSR - CS-,HC vs 0,HC,11,0.01406971504468436,0.023254709322736006,0.6050264851484716,0.279320059967867,0.182422349042274
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CSR - CS-,SAD vs 0,SAD,11,0.02017592959110777,0.011873682097312087,1.699214230746089,0.06006039496088472,0.5123323674379237
Late-phase sensitivity CS+ learners,Reinstatement: All condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,0.006106214546423409,,0.2338591912564243,0.8182807781990823,0.09971789420442674
Late-phase sensitivity CS+ learners,Reinstatement: Early condition contrast,CS+ - CS-,HC vs 0,HC,11,0.004665108896816034,0.026784924319449725,0.1741692020921071,0.4326039857508549,0.05251399030682746
