AnalysisSet,Subject,Phase,CSplus_minus_CSminus,CSS_minus_CSminus,CSR_minus_CSminus
All subjects,N222,Reinstatement,-0.021273035576510224,-0.03574670383603779,-0.006799367316982649
All subjects,N224,Reinstatement,0.06736555309756943,0.07746022171973693,0.05727088447540192
All subjects,N225,Reinstatement,9.371116354545128e-05,0.013142229009091427,-0.012954806682000497
All subjects,N226,Reinstatement,-0.07673704261851771,-0.08579061748423317,-0.06768346775280226
All subjects,N227,Reinstatement,-0.0049517053368759445,-0.030373368775944154,0.02046995810219232
All subjects,N228,Reinstatement,-0.0012621577212990343,0.00483760480006204,-0.007361920242660108
All subjects,N230,Reinstatement,0.024543466721829728,0.04318060522814061,0.005906328215518862
All subjects,N231,Reinstatement,0.07193260169982574,0.0733040484515814,0.07056115494807014
All subjects,N232,Reinstatement,0.016402431387216115,0.012349270812341578,0.020455591962090625
All subjects,N233,Reinstatement,0.0826039815440952,0.12622479080352195,0.038983172284668466
All subjects,N234,Reinstatement,0.0,0.0,0.0
All subjects,N235,Reinstatement,-0.017679068080172965,-0.0068537505328674815,-0.028504385627478448
All subjects,N236,Reinstatement,-0.0679433399926042,-0.1013024358861864,-0.034584244099022
All subjects,N237,Reinstatement,-0.0005057355764903071,-0.0035422296110998452,0.002530758458119231
All subjects,N238,Reinstatement,-0.028171656796846484,-0.018901408687976906,-0.03744190490571606
All subjects,N240,Reinstatement,-0.01003003578035433,0.008340834993149054,-0.028400906553857713
All subjects,N241,Reinstatement,0.019958211362254313,0.01957821465171758,0.020338208072790992
All subjects,N242,Reinstatement,0.04758787131429478,0.037497684827868034,0.05767805780072153
All subjects,N243,Reinstatement,-0.03990793757524458,-0.016136870993318037,-0.06367900415717115
All subjects,N244,Reinstatement,0.10436787327080688,0.08077579166038856,0.1279599548812252
All subjects,N246,Reinstatement,-0.04631469997633489,-0.054518958699299944,-0.038110441253369834
All subjects,N247,Reinstatement,0.015998240810807335,-0.023781638852022252,0.05577812047363692
All subjects,N248,Reinstatement,0.03949999640580759,0.04953311720166237,0.029466875609952814
All subjects,N249,Reinstatement,0.06451519102221365,0.0653115222440776,0.06371885980034969
All subjects,N250,Reinstatement,0.016582442227070573,0.0038188231876587625,0.029346061266482357
All subjects,N251,Reinstatement,-0.049795362339234206,-0.10650510548605374,0.00691438080758533
All subjects,N252,Reinstatement,-0.021838484367779187,-0.0034474884148507634,-0.0402294803207075
All subjects,N253,Reinstatement,0.041896101588587364,0.01071425078757765,0.07307795238959713
All subjects,N254,Reinstatement,-0.030823849660323865,0.030956908920747428,-0.09260460824139516
All subjects,N255,Reinstatement,0.0054373037164069105,0.003476390963029957,0.007398216469783864
All subjects,N257,Reinstatement,0.00023473591532330307,0.0070425589635932095,-0.006573087132946603
All subjects,N258,Reinstatement,-0.0023080229228565896,-0.0036264128073035806,-0.0009896330384096541
All subjects,N259,Reinstatement,-3.2408729129240754e-05,-0.007918180349898107,0.007853362891639626
All subjects,N260,Reinstatement,-0.020771997869264952,0.028395559628347916,-0.06993955536687779
Physiological responders,N101,Acquisition,0.04163221330370784,0.07941853639818341,0.0038458902092322646
Physiological responders,N103,Acquisition,0.010143221577095185,-0.011383416465740537,0.03166985961993091
Physiological responders,N108,Acquisition,0.023041372062208826,-0.012821035293444905,0.05890377941786255
Physiological responders,N109,Acquisition,0.02095008318365607,0.02883230070328248,0.013067865664029676
Physiological responders,N110,Acquisition,-0.0027583026954343948,-0.030002126562266307,0.024485521171397545
Physiological responders,N111,Acquisition,0.02542189219271873,0.051816371282160156,-0.0009725868967226381
Physiological responders,N113,Acquisition,0.04253606688624616,0.03112474899497183,0.05394738477752049
Physiological responders,N114,Acquisition,0.12036085338749075,0.13082364990910822,0.10989805686587323
Physiological responders,N115,Acquisition,0.05385863295583808,0.054916952665160355,0.052800313246515816
Physiological responders,N118,Acquisition,0.030405994373845988,-0.006292322646748158,0.06710431139444015
Physiological responders,N120,Acquisition,0.04078026388942271,0.06073921984596389,0.02082130793288155
Physiological responders,N122,Acquisition,0.06328584898898065,0.04362875455191159,0.08294294342604974
Physiological responders,N124,Acquisition,0.019719379504845258,0.022511041168803925,0.01692771784088659
Physiological responders,N129,Acquisition,0.09292850955267762,0.051946054991511614,0.13391096411384373
Physiological responders,N130,Acquisition,0.008994482030104549,0.06126614449855888,-0.043277180438349785
Physiological responders,N136,Acquisition,-0.058221240165334726,-0.0909988514462339,-0.025443628884435576
Physiological responders,N138,Acquisition,0.0506891734252396,0.01176257699210248,0.08961576985837671
Physiological responders,N141,Acquisition,-0.048970788063884246,-0.04548322732065363,-0.05245834880711489
Physiological responders,N143,Acquisition,-0.0408399410594229,-0.0032526322377943173,-0.07842724988105154
Physiological responders,N144,Acquisition,-0.005198962487756448,-0.09799954668296045,0.08760162170744754
Physiological responders,N148,Acquisition,0.03260743233163191,0.12515059456269004,-0.05993572989942621
Physiological responders,N150,Acquisition,-0.00010515363967248531,-0.010576737799808732,0.010366430520463765
Physiological responders,N151,Acquisition,0.0677388378956674,0.05541490579074665,0.08006277000058815
Physiological responders,N153,Acquisition,-0.08121069012515561,-0.09244747027116093,-0.06997390997915028
