AnalysisSet,Effect,Contrast,Test,Group,N,Mean,SE,t,p,Cohen_d
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,HC vs 0,HC,11,-0.005044424641375741,0.024963580940680154,-0.2020713556024908,0.5780437032419193,-0.060926806128358414
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,SAD vs 0,SAD,11,-0.009295187137705668,0.01470683633506916,-0.6320317249700295,0.729227313311597,-0.19056473521151687
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.004250762496329927,,-0.14671140821320874,0.8851705885770629,-0.062557954657193
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CSS - CS-,HC vs 0,HC,11,0.03950715302253434,0.01923981534285729,2.053406039429646,0.03356222152721295,0.619125215912533
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CSS - CS-,SAD vs 0,SAD,11,0.01503322734200313,0.018019228661269374,0.8342880610819722,0.2118001450794882,0.25154731506200084
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.02447392568053121,,-0.928440364455197,0.36429653669205564,-0.395888301590624
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CSR - CS-,HC vs 0,HC,11,-0.04959600230528582,0.03629069553590655,-1.3666313520008126,0.8991605349713263,-0.4120548564838919
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CSR - CS-,SAD vs 0,SAD,11,-0.03362360161741448,0.026049643922252223,-1.2907509107520814,0.8870837292736888,-0.38917604261583305
Late-phase sensitivity CS+ learners,Acquisition: Early condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,0.01597240068787134,,0.35754738715768386,0.7248075867369017,0.15245871814618997
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,HC vs 0,HC,11,0.08156138971811645,0.022044794917041536,3.6998026076017663,0.0020549173186829423,1.1155324588903248
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,SAD vs 0,SAD,11,0.04681358531231124,0.011432807241308894,4.094671092080071,0.001081473019749671,1.2345897865767619
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CS+ - CS-,SAD vs HC,SAD-HC,22,-0.034747804405805216,,-1.3992544909044806,0.1820533997403731,-0.5966441196492805
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CSS - CS-,HC vs 0,HC,11,0.07412435063144994,0.02752254767823866,2.6932227168075022,0.011287234676386888,0.8120372025920075
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CSS - CS-,SAD vs 0,SAD,11,0.0347496061618816,0.015560903181240237,2.233135554996235,0.02478907927691234,0.6733157038113253
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CSS - CS-,SAD vs HC,SAD-HC,22,-0.03937474446956834,,-1.2453677060251607,0.2311494719861361,-0.5310265741014152
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CSR - CS-,HC vs 0,HC,11,0.08899842880478298,0.027272229211517524,3.2633353186690526,0.0042629421002206335,0.9839326197400107
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CSR - CS-,SAD vs 0,SAD,11,0.05887756446274087,0.02232123906745765,2.637737281734464,0.012415108400365171,0.7953077144586537
Late-phase sensitivity CS+ learners,Acquisition: Late condition contrast,CSR - CS-,SAD vs HC,SAD-HC,22,-0.030120864342042114,,-0.8546818851855398,0.403240419228304,-0.3644375803554414
